Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers
HYDROCHLOROTHIAZIDE/VALSARTAN,HYPERTENSION,259,298,46.5,53.5,97.68,89.93,[]
OLMESARTAN MEDOXOMIL,HYPERTENSION,618,375,62.24,37.76,70.71,67.2,"['NCT05184179', 'NCT02609490', 'NCT00430638', 'NCT00996281', 'NCT00185068', 'NCT01132768', 'NCT00185172', 'NCT00523744', 'NCT00751829', 'NCT00454662', 'NCT00890591', 'NCT00185094', 'NCT00134160', 'NCT00185120', 'NCT00846365', 'NCT00811226', 'NCT01684748', 'NCT02493322', 'NCT00791258', 'NCT02495324', 'NCT02483936', 'NCT00772499', 'NCT02848170', 'NCT00151775', 'NCT00796159', 'NCT00412932', 'NCT00185185', 'NCT01200407', 'NCT02377661', 'NCT01180205', 'NCT00676845', 'NCT00654745', 'NCT01611077', 'NCT05411887', 'NCT00949884', 'NCT00858702', 'NCT00902538', 'NCT00430508', 'NCT00430950', 'NCT00311155', 'NCT00527514', 'NCT00151814', 'NCT00403481', 'NCT02407210', 'NCT00891267', 'NCT00649389', 'NCT00923091', 'NCT00151827', 'NCT00220220', 'NCT00872586', 'NCT05033535', 'NCT00607035', 'NCT05660135', 'NCT00857285', 'NCT01033071', 'NCT00856271', 'NCT00751751', 'NCT00220233', 'NCT00185133']"
COVERSYL PERINDOPRIL ARGININE,HYPERTENSION,209,48,81.32,18.68,99.04,93.75,[]
SALBUTAMOL AND IPRATROPIUM BROMIDE,HYPERTENSION,6348,37,99.42,0.58,100,100,[]
DOXAZOSIN,HYPERTENSION,106,20,84.13,15.87,97.17,95,"['NCT02369081', 'NCT00006294', 'NCT00295542', 'NCT02901977', 'NCT00295555', 'NCT00661895', 'NCT00424801', 'NCT00000522', 'NCT00646841', 'NCT00285519', 'NCT00000542', 'NCT01389609', 'NCT02563405']"
ANTIHYPERTENSIVE MEDICATIONS,HYPERTENSION,36,0,100,0,100,-1,"['NCT00696384', 'NCT04054648']"
PMSMETOPROLOLL,HYPERTENSION,3,86,3.37,96.63,0,100,[]
NEBIVOLOL,HYPERTENSION,10,3,76.92,23.08,0,100,"['NCT00200421', 'NCT06104423', 'NCT05328310', 'NCT00995072', 'NCT01076140', 'NCT01395329', 'NCT00200473', 'NCT03598673', 'NCT01415531', 'NCT01508026', 'NCT00734630', 'NCT01206439', 'NCT00829296', 'NCT01157234', 'NCT00200434', 'NCT00223717', 'NCT00145236', 'NCT00295542', 'NCT01441570', 'NCT01202175', 'NCT00547300', 'NCT00744237', 'NCT05513937', 'NCT00992056', 'NCT02710071', 'NCT01044693', 'NCT00158093', 'NCT05170061', 'NCT00770861', 'NCT01077661', 'NCT00125853', 'NCT01057251', 'NCT01502787', 'NCT01041287', 'NCT00142584', 'NCT00999102', 'NCT00673790', 'NCT01248338', 'NCT01961323', 'NCT01522950', 'NCT00648895', 'NCT00145210', 'NCT00849810', 'NCT00785512', 'NCT02053246', 'NCT01501929', 'NCT00200460', 'NCT01920282', 'NCT05257148', 'NCT03635125', 'NCT01758263', 'NCT01595516', 'NCT01499134', 'NCT01056718', 'NCT01771406', 'NCT00200499', 'NCT01605370', 'NCT00673075', 'NCT04910100', 'NCT01218100', 'NCT01679652', 'NCT00999752', 'NCT01996085', 'NCT02057328', 'NCT01415505']"
ANTIHYPERTENSIVES,HYPERTENSION,18,1,94.74,5.26,22.22,0,['NCT05156385']
MAVIK 4MG,HYPERTENSION,7,8,46.67,53.33,85.71,37.5,[]
CLOPIDOGREL,HYPERTENSION,3,16,15.79,84.21,100,87.5,"['NCT00059306', 'NCT02594410', 'NCT00105209']"
APOQUINAPRIL,HYPERTENSION,32,10,76.19,23.81,62.5,30,[]
PRAZOSIN,HYPERTENSION,33,45,42.31,57.69,100,95.56,"['NCT00223717', 'NCT02431936', 'NCT01862497', 'NCT00450164', 'NCT04967443']"
APO QUINAPRIL/HCTZ,HYPERTENSION,36,7,83.72,16.28,11.11,85.71,[]
APOQUINAPRIL/HCTZ,HYPERTENSION,14,0,100,0,0,-1,[]
AMLODIPINE BESILATE/ATORVASTATIN CALCIUM,HYPERTENSION,75,4,94.94,5.06,82.67,0,[]
PANTOPRAZOLE,HYPERTENSION,57,17,77.03,22.97,100,100,['NCT05227833']
HYDROCHLOROTHIAZIDE/QUINAPRIL,HYPERTENSION,52,5,91.23,8.77,80.77,0,[]
TEVACANDESARTAN,HYPERTENSION,16,5,76.19,23.81,0,0,[]
DOXAZOSIN MESYLATE,HYPERTENSION,59,45,56.73,43.27,88.14,91.11,[]
SOTALOL,HYPERTENSION,96,8,92.31,7.69,100,100,['NCT05794997']
LOPRESOR SR 200 MG,HYPERTENSION,0,18,0,100,-1,100,[]
RATIOIRBESARTAN,HYPERTENSION,8,10,44.44,55.56,0,70,[]
METOLAZONE,HYPERTENSION,11,13,45.83,54.17,100,100,[]
KIDNEY TRANSPLANT,HYPERTENSION,11,11,50,50,100,100,[]
AMILORIDE HYDROCHLORIDE/HYDROCHLOROTHIAZIDE,HYPERTENSION,26,0,100,0,100,-1,[]
QUETIAPINE,HYPERTENSION,24,0,100,0,100,-1,[]
OCTREOTIDE,HYPERTENSION,8,32,20,80,100,100,"['NCT00534677', 'NCT01188733']"
HYDROCHLOROTHIAZIDE/TELMISARTAN,HYPERTENSION,89,57,60.96,39.04,95.51,100,['NCT01819220']
AUROVALSARTAN,HYPERTENSION,7,5,58.33,41.67,0,0,[]
SODIUM,HYPERTENSION,74,0,100,0,100,-1,"['NCT03015402', 'NCT00000521', 'NCT01828138', 'NCT01334138', 'NCT02621450', 'NCT00259714', 'NCT00000495', 'NCT01681810', 'NCT02016404', 'NCT02147704', 'NCT04648592', 'NCT01395329', 'NCT00058929', 'NCT04076280', 'NCT04110262', 'NCT06292091', 'NCT00373360', 'NCT02822131', 'NCT01455974', 'NCT01462565', 'NCT02966665', 'NCT00995566', 'NCT05425030', 'NCT06303830', 'NCT05699486', 'NCT00000535', 'NCT05369416', 'NCT00000616', 'NCT01083524', 'NCT00345124', 'NCT03144817', 'NCT03424317', 'NCT01575041', 'NCT00689819', 'NCT05103813', 'NCT00000513', 'NCT01965236', 'NCT03431649', 'NCT01908699', 'NCT01637675', 'NCT02295852', 'NCT02527837', 'NCT00781885', 'NCT01725256', 'NCT00141609', 'NCT00000509', 'NCT00034307', 'NCT00000528', 'NCT00000497', 'NCT02517697', 'NCT00000498', 'NCT00319345', 'NCT03128177', 'NCT04764253', 'NCT03127553', 'NCT00927654', 'NCT04891354', 'NCT00494533', 'NCT01566084', 'NCT05430438', 'NCT00000608', 'NCT05165823', 'NCT04021355', 'NCT04286555', 'NCT00990314', 'NCT01899495', 'NCT02068781', 'NCT05798481', 'NCT00093912', 'NCT00643604', 'NCT00000501', 'NCT01523067', 'NCT06110429', 'NCT05041829', 'NCT04885491', 'NCT03226327', 'NCT01445873', 'NCT04488874', 'NCT00998465', 'NCT00080457', 'NCT01409122', 'NCT00000522', 'NCT00703339', 'NCT00989963', 'NCT01914224', 'NCT04459741', 'NCT00000536', 'NCT02738736', 'NCT01458236', 'NCT01416636', 'NCT00458042', 'NCT00145756', 'NCT00792571', 'NCT03990311', 'NCT01488383', 'NCT06317805', 'NCT00814645', 'NCT04415333']"
PREGABALIN,HYPERTENSION,123,13,90.44,9.56,100,100,[]
AMLODIPINE BESYLATE 10 MG AND OLMESARTAN MEDOXOMIL 20 MG ORAL TABLET,HYPERTENSION,44,31,58.67,41.33,90.91,70.97,[]
AMILORIDE / HYDROCHLOROTHIAZIDE,HYPERTENSION,59,9,86.76,13.24,86.44,100,[]
CO ATENOLOL,HYPERTENSION,3,10,23.08,76.92,0,100,[]
HYDROCHLOROTHIAZIDE/RAMIPRIL,HYPERTENSION,182,246,42.52,57.48,93.96,100,[]
FOSINOPRIL,HYPERTENSION,19,19,50,50,89.47,89.47,"['NCT01342614', 'NCT00051389']"
RAN CANDESARTAN,HYPERTENSION,16,1,94.12,5.88,68.75,0,[]
TRANDOLAPRIL / VERAPAMIL,HYPERTENSION,20,2,90.91,9.09,100,100,[]
PMSLOSARTANHCTZ,HYPERTENSION,13,2,86.67,13.33,38.46,0,[]
SCHEINPHARM NIFEDIPINE XL,HYPERTENSION,16,0,100,0,0,-1,[]
APOHYDRO,HYPERTENSION,65,23,73.86,26.14,92.31,100,[]
PMS LOSARTAN HCTZ,HYPERTENSION,4,10,28.57,71.43,0,70,[]
GUANFACINE,HYPERTENSION,5,10,33.33,66.67,0,0,"['NCT00389779', 'NCT00223717', 'NCT00389675']"
APODILTIAZ,HYPERTENSION,1288,0,100,0,100,-1,[]
AZILSARTAN MEDOXOMIL POTASSIUM,HYPERTENSION,28,19,59.57,40.43,82.14,100,['NCT05947448']
INDAPAMIDE/PERINDOPRIL,HYPERTENSION,94,17,84.68,15.32,94.68,29.41,[]
DILTIAZEM HYDROCHLORIDE,HYPERTENSION,2315,56,97.64,2.36,100,100,['NCT01645826']
PMSCANDESARTAN,HYPERTENSION,14,4,77.78,22.22,42.86,75,[]
TEVAHYDROCHLOROTHIAZIDE,HYPERTENSION,18,4,81.82,18.18,0,100,[]
SACUBITRIL / VALSARTAN,HYPERTENSION,6,137,4.2,95.8,50,97.81,"['NCT04753112', 'NCT05498675']"
APO ATENIDONE,HYPERTENSION,0,13,0,100,-1,23.08,[]
AMLODIPINE / PERINDOPRIL,HYPERTENSION,54,33,62.07,37.93,81.48,69.7,[]
PERINDOPRIL AND DIURETICS,HYPERTENSION,24,133,15.29,84.71,20.83,94.74,[]
AMIODARONE HYDROCHLORIDE,HYPERTENSION,10,8,55.56,44.44,0,100,[]
EDARBYCLOR,HYPERTENSION,26,2,92.86,7.14,69.23,100,[]
APOVALSARTAN,HYPERTENSION,5,6,45.45,54.55,40,66.67,[]
DIURETIC,HYPERTENSION,26,0,100,0,100,-1,"['NCT05378750', 'NCT00334386', 'NCT05171686', 'NCT02240641', 'NCT01891513', 'NCT00295542', 'NCT04330300', 'NCT00000485', 'NCT05972785', 'NCT00858702', 'NCT00131846', 'NCT04354376', 'NCT05049616', 'NCT00229242', 'NCT01896661']"
ANGIOTENSIN II ANTAGONIST,HYPERTENSION,26,0,100,0,100,-1,[]
APO OLMESARTAN/HCTZ,HYPERTENSION,88,15,85.44,14.56,27.27,13.33,[]
AUROOLMESARTAN,HYPERTENSION,42,6,87.5,12.5,26.19,0,[]
HYDROCHLOROTHIAZIDE/OLMESARTAN MEDOXOMIL,HYPERTENSION,39,33,54.17,45.83,56.41,21.21,[]
ACT OLMESARTAN HCT,HYPERTENSION,79,17,82.29,17.71,32.91,5.88,[]
APOOLMESARTAN,HYPERTENSION,35,12,74.47,25.53,0,41.67,[]
HYDROCHLOROTHIAZIDE 25 MG AND OLMESARTAN MEDOXOMIL 40 MG ORAL TABLET,HYPERTENSION,14,8,63.64,36.36,28.57,0,[]
APOOLMESARTAN/HCTZ,HYPERTENSION,31,34,47.69,52.31,29.03,50,[]
APOTELMISARTAN,HYPERTENSION,5,8,38.46,61.54,0,100,[]
ACETAMINOPHEN / DIPHENHYDRAMINE / PHENYLEPHRINE,HYPERTENSION,1043,1,99.9,0.1,100,0,[]
COVERSYL                           ,HYPERTENSION,113,43,72.44,27.56,84.96,74.42,['NCT05288400']
SANDOZ PERINDOPRIL ERBUMINE/ INDAPAMIDE,HYPERTENSION,19,11,63.33,36.67,26.32,36.36,[]
TEVA PERINDOPRIL/INDAPAMIDE,HYPERTENSION,22,9,70.97,29.03,59.09,11.11,[]
PMSPERINDOPRIL,HYPERTENSION,18,24,42.86,57.14,27.78,41.67,[]
APOPERINDOPRIL,HYPERTENSION,19,11,63.33,36.67,26.32,100,[]
TEVAPERINDOPRIL/INDAPAMIDE,HYPERTENSION,21,9,70,30,61.9,0,[]
SANDOZ PERINDOPRIL ERBUMINE/ INDAPAMIDE HD,HYPERTENSION,26,24,52,48,76.92,45.83,[]
PMSTRANDOLAPRIL,HYPERTENSION,21,0,100,0,47.62,-1,[]
IRBESARTAN AND DIURETICS,HYPERTENSION,29,1,96.67,3.33,100,0,[]
EPLERENONE,HYPERTENSION,6,71,7.79,92.21,33.33,94.37,"['NCT00407784', 'NCT04519164', 'NCT05593055', 'NCT06208072', 'NCT02345044', 'NCT00147589', 'NCT02890173', 'NCT06275763', 'NCT00147563', 'NCT00758524', 'NCT00223717', 'NCT01887119', 'NCT00147615', 'NCT00649311', 'NCT05030545', 'NCT04746495', 'NCT03683069', 'NCT00138944', 'NCT00865176', 'NCT03923530', 'NCT00553722', 'NCT01373086', 'NCT00817635', 'NCT03476616', 'NCT00865618', 'NCT01302236', 'NCT01996449', 'NCT04840342', 'NCT03186742', 'NCT01275352', 'NCT00825188']"
TAMSULOSIN,HYPERTENSION,0,39,0,100,-1,89.74,['NCT00223717']
PHARMAAMLODIPINE,HYPERTENSION,11,0,100,0,100,-1,[]
OXAZEPAM,HYPERTENSION,5539,0,100,0,100,-1,[]
ACHOLMESARTAN HCTZ,HYPERTENSION,15,0,100,0,60,-1,[]
ACH OLMESARTAN HCTZ,HYPERTENSION,15,0,100,0,100,-1,[]
CANDESARTAN CILEXETIL/HYDROCHLOROTHIAZIDE,HYPERTENSION,446,12,97.38,2.62,98.21,100,[]
MYLANINDAPAMIDE,HYPERTENSION,19,0,100,0,100,-1,[]
JAMPHYDRALAZINE,HYPERTENSION,18,0,100,0,88.89,-1,[]
DOPAMINE,HYPERTENSION,14,0,100,0,100,-1,"['NCT06447740', 'NCT05732077', 'NCT02587533']"
MINT LOSARTAN/HCTZ,HYPERTENSION,0,11,0,100,-1,72.73,[]
THEOPHYLLINE,HYPERTENSION,98,0,100,0,100,-1,['NCT01566565']
PERINDOPRIL ERBUMINE/ INDAPAMIDE HD,HYPERTENSION,4,9,30.77,69.23,100,100,[]
ATENOLOL PREMPHARM,HYPERTENSION,42,0,100,0,90.48,-1,[]
AMITRIPTYLINE / CHLORDIAZEPOXIDE,HYPERTENSION,8688,0,100,0,100,-1,[]
ESOMEPRAZOLE,HYPERTENSION,1107,0,100,0,99.28,-1,['NCT00963027']
ACETAMINOPHEN/CAFFEINE,HYPERTENSION,1210,0,100,0,100,-1,[]
APOHYDROCHLOROTHIAZIDE,HYPERTENSION,1,27,3.57,96.43,100,100,[]
AMLODIPINE BESYLATE/TELMISARTAN,HYPERTENSION,174,0,100,0,98.85,-1,[]
PARACETAMOL AND CAFFEINE,HYPERTENSION,16,0,100,0,100,-1,[]
TEVADILTIAZEM HCL ER,HYPERTENSION,7,4,63.64,36.36,100,0,[]
TEVA LISINOPRIL TYPE Z,HYPERTENSION,16,0,100,0,100,-1,[]
AMOXICILLIN / CLAVULANATE,HYPERTENSION,39,0,100,0,100,-1,[]
DIAZEPAM,HYPERTENSION,136,0,100,0,100,-1,[]
SECUKINUMAB,HYPERTENSION,4104,0,100,0,100,-1,[]
METHOTREXATE,HYPERTENSION,27,0,100,0,100,-1,[]
TRAUMEEL,HYPERTENSION,20,0,100,0,100,-1,[]
RISEDRONATE,HYPERTENSION,24,37,39.34,60.66,100,100,[]
LEVOTHYROXINE,HYPERTENSION,65,67,49.24,50.76,100,100,[]
TIAZAC                             ,HYPERTENSION,35,5,87.5,12.5,94.29,100,['NCT00713011']
OMETEC OMEPRAZOLE,HYPERTENSION,89,0,100,0,100,-1,[]
TRIHEXYPHENIDYL,HYPERTENSION,18,0,100,0,100,-1,[]
PERINDOPRIL ARGININE,HYPERTENSION,1164,259,81.8,18.2,99.14,91.12,"['NCT05764317', 'NCT04254042', 'NCT03722524', 'NCT05288400']"
LASIX FUROSEMIDE,HYPERTENSION,66,69,48.89,51.11,80.3,100,[]
LEFLUNOMIDE,HYPERTENSION,28,8,77.78,22.22,100,0,[]
FLUDROCORTISONE ACETATE,HYPERTENSION,1,29,3.33,96.67,100,100,[]
PRAMIPEXOLE HYDROCHLORIDE MONOHYDRATE,HYPERTENSION,0,128,0,100,-1,100,[]
HYDROCHLOROTHIAZIDE/IRBESARTAN,HYPERTENSION,37,51,42.05,57.95,94.59,100,[]
ALBUTEROL,HYPERTENSION,0,29,0,100,-1,100,"['NCT03270332', 'NCT02108743']"
ONDANSETRON,HYPERTENSION,12,0,100,0,100,-1,[]
TADALAFIL,HYPERTENSION,97,9,91.51,8.49,100,100,"['NCT01824290', 'NCT01302444', 'NCT03309592', 'NCT01910389', 'NCT05844462', 'NCT01178073', 'NCT01484431', 'NCT01244620', 'NCT02194465', 'NCT00157326', 'NCT01042158', 'NCT03236818', 'NCT01862536', 'NCT01324999', 'NCT01305252', 'NCT04483115', 'NCT03904693', 'NCT01743911', 'NCT00617305', 'NCT01066845', 'NCT00549302', 'NCT02891850', 'NCT01197469', 'NCT02968901', 'NCT04379180', 'NCT05179876', 'NCT06350773', 'NCT02558231', 'NCT00125918', 'NCT00705588', 'NCT01960153', 'NCT05937854', 'NCT02688387']"
AMOLODOL,HYPERTENSION,0,24,0,100,-1,100,[]
ALLOPURINOL,HYPERTENSION,59,10,85.51,14.49,100,100,"['NCT02237339', 'NCT00288158', 'NCT00288171', 'NCT02038179', 'NCT00288184', 'NCT01637623', 'NCT00241839', 'NCT05888233']"
HYDROCHLOROTHIAZIDE/LISINOPRIL DIHYDRATE,HYPERTENSION,84,1,98.82,1.18,100,100,[]
APIXABAN,HYPERTENSION,25,9,73.53,26.47,28,100,"['NCT05304455', 'NCT04645550', 'NCT04007289']"
RITUXIMAB,HYPERTENSION,34,0,100,0,100,-1,"['NCT03630211', 'NCT05828147', 'NCT00446251']"
AMLODIPINE BESILATE/TELMISARTAN,HYPERTENSION,88,141,38.43,61.57,95.45,85.82,[]
DULOXETINE,HYPERTENSION,33,0,100,0,87.88,-1,[]
"RISEDRONIC ACID, CALCIUM AND COLECALCIFEROL, SEQUENTIAL",HYPERTENSION,0,49,0,100,-1,100,[]
CALCIUM CARBONATE / ERGOCALCIFEROL,HYPERTENSION,48,0,100,0,100,-1,[]
HYDROCHLOROTHIAZIDE/LOSARTAN POTASSIUM,HYPERTENSION,11,4,73.33,26.67,45.45,100,[]
AMLODIPINE BESILATE/PERINDOPRIL ARGININE,HYPERTENSION,82,31,72.57,27.43,96.34,100,[]
FOSPHENYTOIN,HYPERTENSION,13,0,100,0,100,-1,[]
COVERSYL PLUS                      ,HYPERTENSION,5,15,25,75,80,100,[]
RENITEC ENALAPRIL,HYPERTENSION,0,11,0,100,-1,100,[]
MIDODRINE,HYPERTENSION,0,66,0,100,-1,100,[]
RESERPINE / TRICHLORMETHIAZIDE,HYPERTENSION,27,5,84.38,15.62,100,80,[]
ARCOSYL PLUS,HYPERTENSION,129,22,85.43,14.57,97.67,100,[]
DIGOXIN,HYPERTENSION,35,5,87.5,12.5,100,100,"['NCT00991783', 'NCT00852787']"
CICLESONIDE,HYPERTENSION,0,21,0,100,-1,100,[]
BUDESONIDE / FORMOTEROL,HYPERTENSION,0,21,0,100,-1,100,[]
INDAPAMIDE/PERINDOPRIL ERBUMINE,HYPERTENSION,80,48,62.5,37.5,88.75,97.92,[]
ALFUZOSIN,HYPERTENSION,0,16,0,100,-1,100,[]
COVERSYL PERINDOPRIL ERBUMINE,HYPERTENSION,111,127,46.64,53.36,95.5,88.98,[]
NIALAMIDE,HYPERTENSION,2,36,5.26,94.74,0,0,[]
COVERSYL                                ,HYPERTENSION,60,19,75.95,24.05,100,100,['NCT05288400']
ENALAPRIL MALEATE/HYDROCHLOROTHIAZIDE,HYPERTENSION,147,34,81.22,18.78,100,100,[]
NOREPINEPHRINE,HYPERTENSION,82,13,86.32,13.68,100,100,"['NCT01456208', 'NCT02085291', 'NCT02966665', 'NCT04170751', 'NCT01285908', 'NCT01426529']"
BISOPROLOL FUMARATE/HYDROCHLOROTHIAZIDE,HYPERTENSION,212,20,91.38,8.62,100,100,[]
NIFEDIPINE EX,HYPERTENSION,0,11,0,100,-1,100,['NCT04349124']
ADALAT XL PLUS,HYPERTENSION,12,5,70.59,29.41,100,100,[]
BISOPROLOL                         ,HYPERTENSION,19,1,95,5,100,0,"['NCT02369081', 'NCT01243827', 'NCT02832973', 'NCT01508325', 'NCT01066039', 'NCT03730116', 'NCT01762436', 'NCT01080742', 'NCT03276598', 'NCT01742702', 'NCT02355821', 'NCT01109043', 'NCT01251146', 'NCT02398929', 'NCT01079962', 'NCT04085562', 'NCT01977794', 'NCT01190436', 'NCT05288400', 'NCT01246037', 'NCT01939509', 'NCT05794997']"
LORAZEPAM,HYPERTENSION,13,0,100,0,100,-1,['NCT06429657']
HYDROCHLOROTHIAZIDE/LISINOPRIL,HYPERTENSION,30,18,62.5,37.5,90,83.33,[]
FOLIC ACID / VITAMIN B12,HYPERTENSION,63,4,94.03,5.97,100,100,[]
AMILORIDE,HYPERTENSION,0,56,0,100,-1,100,"['NCT02896621', 'NCT01191450', 'NCT00394394', 'NCT01011660', 'NCT02832973', 'NCT00970931', 'NCT06416735', 'NCT00141596', 'NCT03031496', 'NCT00709137', 'NCT01918488', 'NCT01308983', 'NCT01195805', 'NCT02847338', 'NCT00424801', 'NCT04331691', 'NCT02351973', 'NCT02122731', 'NCT00971165', 'NCT05125237', 'NCT01388088', 'NCT00429897', 'NCT03928145', 'NCT01804777', 'NCT01706887']"
CANDESARTAN CILEXETIL W/HYDROCHLOROTHIAZIDE,HYPERTENSION,21,0,100,0,100,-1,[]
APOATORVASTATIN,HYPERTENSION,20,0,100,0,100,-1,[]
CARBAMAZEPINE,HYPERTENSION,16,3,84.21,15.79,0,100,[]
CANDESARTAN CILEXETIL + HYDROCHLOROTHIAZIDE,HYPERTENSION,75,0,100,0,100,-1,[]
ZINDA CANDESARTAN/HYDROCHLOROTHIAZIDE,HYPERTENSION,100,0,100,0,100,-1,[]
HYPROMELLOSE,HYPERTENSION,16,0,100,0,100,-1,"['NCT01525173', 'NCT02097719', 'NCT01170884', 'NCT01881126']"
INDAPAMIDE/PERINDOPRIL TOSILATE,HYPERTENSION,3,11,21.43,78.57,100,72.73,[]
ALOGLIPTIN / METFORMIN,HYPERTENSION,88,0,100,0,100,-1,[]
SODIUM NITROPRUSSIDE,HYPERTENSION,22,0,100,0,100,-1,"['NCT01395329', 'NCT02966665', 'NCT00093912']"
HYDROCHLOROTHIAZIDE/OLMESARTAN,HYPERTENSION,14,0,100,0,71.43,-1,[]
PRAZINE PROMAZINE HYDROCHLORIDE,HYPERTENSION,0,14,0,100,-1,100,[]
HYDROCHLOROTHIAZIDE;LISINOPRIL,HYPERTENSION,22,0,100,0,100,-1,[]
GLICLAZIDE,HYPERTENSION,265,30,89.83,10.17,100,100,[]
BLOOD PRESSURE PILL,HYPERTENSION,13,0,100,0,100,-1,[]
CARBETOCIN-CONTAINING PRODUCT,HYPERTENSION,62,0,100,0,100,-1,[]
LABETALOL HYDROCHLORIDE,HYPERTENSION,107,77,58.15,41.85,97.2,100,[]
IRBESARTAN+HYDROCHLOROTHIAZIDE SANDOZ,HYPERTENSION,46,0,100,0,100,-1,[]
VALSARTANHCTZ,HYPERTENSION,20,0,100,0,100,-1,[]
EPIPEN 0.3MG/0.3ML AUTO INJECTOR,HYPERTENSION,38,0,100,0,100,-1,[]
EPIPEN 0.3MG/0.3ML AUTOINJECTOR,HYPERTENSION,38,0,100,0,100,-1,[]
ACETAMINOPHEN PARACETAMOL CAFFEINE,HYPERTENSION,2832,0,100,0,100,-1,[]
ASPIRIN / DIPYRIDAMOLE,HYPERTENSION,1104,0,100,0,100,-1,[]
ACETYLSALICYLIC ACID/VITAMIN C,HYPERTENSION,92,0,100,0,100,-1,[]
CORTISONE,HYPERTENSION,13,0,100,0,100,-1,['NCT01453959']
NEBIVOLOL AND THIAZIDES,HYPERTENSION,21,1,95.45,4.55,100,0,[]
LEVOTHYROXINE SODIUM,HYPERTENSION,52,0,100,0,11.54,-1,[]
LEVODOPA AND DECARBOXYLASE INHIBITOR,HYPERTENSION,12,0,100,0,100,-1,[]
AMLODIPINE BESILATE;TELMISARTAN,HYPERTENSION,14,0,100,0,100,-1,[]
HYDROCHLOROTHIAZIDE;VALSARTAN,HYPERTENSION,17,0,100,0,100,-1,[]
APONADOL,HYPERTENSION,11,0,100,0,100,-1,[]
GLYCON METFORMIN HYDROCHLORIDE,HYPERTENSION,42,0,100,0,100,-1,[]
"DIPHENHYDRAMINE, COMBINATIONS",HYPERTENSION,22,0,100,0,100,-1,[]
ACETAMINOPHEN / METHOCARBAMOL,HYPERTENSION,38,0,100,0,100,-1,[]
INDAPAMIDE/PERINDOPRIL ARGININE,HYPERTENSION,18,0,100,0,100,-1,[]
HYDROXYCHLOROQUINE SULFATE,HYPERTENSION,23,0,100,0,100,-1,[]
METOPROLOL/MORPHINE,HYPERTENSION,0,11,0,100,-1,100,[]
BUDESONIDE,HYPERTENSION,20,0,100,0,10,-1,[]
AMLODIPINE BESILATE/PERINDOPRIL ERBUMINE,HYPERTENSION,42,5,89.36,10.64,100,100,[]
AZILSARTAN MEDOXOMIL/CHLORTHALIDONE,HYPERTENSION,14,0,100,0,100,-1,[]
RISPERIDONE,HYPERTENSION,0,18,0,100,-1,100,[]
BENADRYL DIPHENHYDRAMINE HYDROCHLORIDE,HYPERTENSION,24,0,100,0,100,-1,[]
APOOXAZEPAM,HYPERTENSION,270,0,100,0,100,-1,[]
METFORMIN HYDROCHLORIDE/SITAGLIPTIN PHOSPHATE,HYPERTENSION,46,0,100,0,100,-1,[]
COBAMAMIDE / FOLIC ACID,HYPERTENSION,23,0,100,0,100,-1,[]
SANDOZ AMLODIPINE AMLODIPINE BESILATE,HYPERTENSION,10,13,43.48,56.52,100,38.46,[]
RENFLEXIS SINGLE USE VIAL,HYPERTENSION,25,0,100,0,100,-1,[]
HYDROCHLOROTHIAZIDE;RAMIPRIL,HYPERTENSION,0,54,0,100,-1,100,[]
CHOLESTYRAMINE RESIN,HYPERTENSION,0,38,0,100,-1,100,[]
APOSIMVASTATIN,HYPERTENSION,11,0,100,0,0,-1,[]
VENLAFAXINE,HYPERTENSION,18,30,37.5,62.5,100,100,[]
OLMESARTANA + HIDROCLOROTIAZIDA,HYPERTENSION,24,0,100,0,100,-1,[]
ALEFACEPT,HYPERTENSION,498,0,100,0,100,-1,[]
CYCLOSPORINE,HYPERTENSION,13,21,38.24,61.76,100,0,[]
CETIRIZINE,HYPERTENSION,42,0,100,0,66.67,-1,[]
ZOLEDRONIC ACID,HYPERTENSION,0,48,0,100,-1,100,[]
CORTEF HYDROCORTISONE,HYPERTENSION,39,0,100,0,100,-1,[]
DESOXIMETASONE,HYPERTENSION,0,14,0,100,-1,100,[]
VALACYCLOVIR,HYPERTENSION,0,14,0,100,-1,100,[]
AMITRIPTYLINE / PERPHENAZINE,HYPERTENSION,346,0,100,0,100,-1,[]
ACITRETIN,HYPERTENSION,82,21,79.61,20.39,100,0,[]
EMPAGLIFLOZIN / LINAGLIPTIN,HYPERTENSION,0,30,0,100,-1,100,[]
LOPERAMIDE HYDROCHLORIDE,HYPERTENSION,0,24,0,100,-1,100,[]
ALBUREX   25,HYPERTENSION,0,24,0,100,-1,100,[]
AMITRIPTYLINE HYDROCHLORIDE/PERPHENAZINE,HYPERTENSION,1524,0,100,0,100,-1,[]
AZATHIOPRINE,HYPERTENSION,0,24,0,100,-1,100,[]
LODALIS FILM COATED TABLETS,HYPERTENSION,0,16,0,100,-1,100,[]
APOPERINDOPRIL ARGININE,HYPERTENSION,26,0,100,0,100,-1,[]
CARDIZEM DILTIAZEM HYDROCHLORIDE,HYPERTENSION,228,0,100,0,100,-1,[]
OTHER THERAPEUTIC PRODUCTS,HYPERTENSION,14,0,100,0,100,-1,[]
NAPROXEN SODIUM,HYPERTENSION,31,0,100,0,100,-1,[]
